Title,ReleaseDate,Popularity,Budget,Revenue,Director,Genre,IMDBRating,IMDBVotes,BoxOfice,Production
In Transit,'01/01/1986',0.0,0.0,0.0,Cédric Klapisch,"Comedy, Short",4.9,43,N/A,N/A
Mr. Happy Man,'01/01/2010',0.014342,0.0,0.0,Matt Morris,"Documentary, Short, Biography",7.2,31,N/A,N/A
De Overkant,'12/09/2015',0.043542,0.0,0.0,Conny Beneden,"Short, Drama",N/A,N/A,N/A,N/A
The Hitch-Hiker,'01/12/1939',0.014621,0.0,0.0,"Eddie Donnelly, Connie Rasinski","Animation, Short",4.2,6,N/A,N/A
Plane Goofy,'28/11/1940',0.00422,0.0,0.0,Eddie Donnelly,"Animation, Short, Comedy",5.6,12,N/A,N/A
Loue-moi !,'05/07/2017',0.910194,0.0,0.0,"Coline Assous, Virginie Schwartz",Comedy,6.0,22,N/A,N/A
Hollywood between Paranoia and Sci-Fi. The Power of Myth,'06/05/2011',0.264897,118399.0,0.0,"Clara Kuperberg, Julia Kuperberg",Documentary,6.3,26,N/A,N/A
Point of Origin,'20/06/2002',0.503931,0.0,0.0,Newton Thomas Sigel,"Crime, Drama, Thriller",5.9,"1,154",N/A,N/A
Los irrompibles,'17/07/1975',0.00135,0.0,0.0,Emilio Vieyra,"Adventure, Western, Mystery",5.8,46,N/A,N/A
Da wo die Herzen schlagen,'18/05/2004',0.036072,0.0,0.0,Karl Kases,"Comedy, Romance",2.1,30,N/A,N/A
Design for Living,'29/12/1933',0.353114,0.0,0.0,Ernst Lubitsch,"Comedy, Romance",7.6,"4,312",N/A,Criterion Collection
The African Lion,'14/09/1955',0.103793,0.0,0.0,James Algar,"Family, Documentary",7.5,163,N/A,Walt Disney Productions
Ek Thi Daayan,'19/04/2013',0.032381,0.0,0.0,Kannan Iyer,"Horror, Romance, Thriller",5.7,"3,230",N/A,Eros Entertainment
The Kids,'16/07/2015',0.059195,0.0,0.0,Sunny Yu,Drama,5.7,13,N/A,N/A
As Cool as I Am,'21/06/2013',0.267794,0.0,0.0,Max Mayer,"Comedy, Drama",5.9,"4,532",N/A,As Cool Inc.
The Distinguished Gentleman,'04/12/1992',1.775844,0.0,46434570.0,Jonathan Lynn,"Comedy, Crime",5.9,"13,101",N/A,Hollywood Pictures
Opus II,'31/12/1921',0.002074,0.0,0.0,Walter Ruttmann,"Animation, Short",6.1,207,N/A,N/A
My Neighbor's Keeper,'18/06/2007',0.015836,0.0,0.0,Walter Klenhard,"Crime, Mystery, Thriller",5.6,186,N/A,N/A
The Facility,'23/06/2012',1.523794,0.0,0.0,Ian Clark,Horror,4.8,"1,574",N/A,Tribeca Films
Jack Whitehall Live,'19/11/2012',0.186227,0.0,0.0,"Ben Cavey, Brian Klein","Documentary, Comedy",6.9,113,N/A,N/A
Deewane Huye Paagal,'25/11/2005',0.404031,0.0,355962.0,Vikram Bhatt,"Action, Comedy, Drama",5.3,"3,277",N/A,N/A
Broken Highway,'02/06/1993',0.275625,0.0,0.0,Laurie McInnes,N/A,5.9,23,N/A,N/A
Cirque du Soleil: Varekai,'07/10/2003',0.008506,0.0,0.0,"Dominic Champagne, Nick Morris","Family, Fantasy, Music",8.0,478,N/A,N/A
Hemso,'02/01/2001',0.002063,0.0,0.0,Ömer Ugur,"Comedy, Drama",4.6,"1,734",N/A,N/A
Odd Shoe,'09/03/2008',0.0075,0.0,0.0,Paul Cotter,"Short, Drama",6.5,36,N/A,N/A
Behind the Spanish Lines,'02/01/1938',0.002422,0.0,0.0,"Sidney Cole, Thorold Dickinson","Documentary, Short",5.0,8,N/A,N/A
Kodou,'02/01/1973',3e-06,0.0,0.0,Ababacar Samb-Makharam,N/A,N/A,N/A,N/A,N/A
